epoch,training_loss,training_acc,val_loss,val_acc
277,0.008453084332923229,0.9973295,0.7594041568892342,0.7202381
278,0.006862284065971598,0.99814224,0.5683207597051348,0.8240327
279,0.002965702479858902,0.9990877,0.6823810338973999,0.81436014
280,0.002776700931829388,0.99918723,0.5893700463431222,0.79092264
281,0.0036466505263981082,0.998955,0.6776598862239293,0.76748514
282,0.0035375521342192752,0.99905455,0.6527578915868487,0.79129463
283,0.004449274207120212,0.9988389,0.7813001956258502,0.7734375
284,0.004573145604358775,0.998756,0.7823446478162494,0.74665177
285,0.003123926340290715,0.9990048,0.8309557012149266,0.7615327
286,0.002321043085380791,0.999237,0.8373691099030631,0.7358631
287,0.0022890967174417987,0.99933654,0.8652789081845965,0.77306545
288,0.0028558904554175993,0.99930334,0.9860202159200396,0.7797619
289,0.0036978134999913707,0.99877256,0.6469529611723763,0.83928573
290,0.00811314723403623,0.99789345,1.2700217962265015,0.71540177
291,0.008924383169104872,0.997429,1.0724110433033534,0.80022323
292,0.006203706504452761,0.9981257,0.5266141465732029,0.8448661
293,0.004670477045643438,0.99840766,0.47662714549473356,0.82738096
294,0.00436751194286134,0.99857354,0.5279467574187687,0.8165923
295,0.003934976331671223,0.99890524,0.6820097480501447,0.81212795
296,0.002670521328824291,0.99927014,0.6931448153087071,0.79129463
297,0.0034509358357900795,0.9991209,0.6258924688611712,0.82477677
298,0.003435429331443484,0.9989716,0.528188339301518,0.82626486
299,0.004256548604655238,0.99878913,0.7165447814123971,0.81212795
300,0.0048818775462951235,0.99902135,0.7375253438949585,0.8311012
301,0.004115801309303302,0.99880576,0.9573574321610587,0.8165923
302,0.0038548552790132725,0.9988389,0.6818728957857404,0.7704613
303,0.005412539427687276,0.9984408,0.7736968994140625,0.79910713
304,0.004151133937322266,0.99878913,0.9864900452750069,0.7358631
305,0.00483120952713808,0.998673,0.7957738723073687,0.83630955
306,0.003226871170647231,0.9990379,0.7785362941878182,0.80915177
307,0.00362924778421515,0.9988389,0.6341889458043235,0.85081846
308,0.003008009149472629,0.9991209,0.918430072920663,0.82217264
309,0.0031507366109357823,0.99890524,0.6656122037342617,0.81175596
310,0.006277912807758718,0.9982418,0.6552055392946515,0.8526786
311,0.0036810888787850806,0.998955,1.1066755226680212,0.7745536
312,0.004526761591573719,0.9987228,0.571932464838028,0.8504464
313,0.0036861101245831726,0.9989219,0.8100602115903582,0.82886904
314,0.0047720143147251485,0.99873936,1.0391038315636771,0.7410714
315,0.006953872388733074,0.99825835,1.1190904123442513,0.6990327
316,0.004877456130264068,0.99868965,1.146116988999503,0.73660713
317,0.007780834697742955,0.9979598,1.3939791577202933,0.6223958
318,0.02220820043374747,0.99417794,0.9069104790687561,0.76488096
319,0.010028383028155447,0.996666,0.9821299314498901,0.68303573
320,0.008913851775441278,0.99729633,0.7746925439153399,0.73511904
321,0.004389212680061568,0.9984408,0.5796913632324764,0.7875744
322,0.002774091841289122,0.9990877,0.8203081829207284,0.74553573
323,0.0028222815991968304,0.99927014,0.6880118932042804,0.7723214
324,0.003091987283249393,0.9990379,0.595461334500994,0.83147323
325,0.002314630546628077,0.99933654,0.6941886288779122,0.7916667
326,0.0023039820046348207,0.99941945,0.7098554372787476,0.79129463
327,0.0014382874850363493,0.99950236,0.5373741941792625,0.8463542
328,0.0029356606703286985,0.99918723,0.5921455025672913,0.80282736
329,0.0029198506806775927,0.9992038,0.6627185004098075,0.78571427
330,0.004380622645735414,0.9989716,0.5524660561765943,0.81212795
331,0.0037325568973394104,0.9990379,0.6304394943373544,0.7723214
332,0.0025169381141318566,0.99927014,0.5474547828946795,0.8307292
333,0.002431797066654277,0.99930334,0.6116792389324733,0.81287205
334,0.003003845499213952,0.99905455,0.6016155055591038,0.8255208
335,0.0027687151120707673,0.9991209,0.7262704031808036,0.7589286
336,0.0027794094733518747,0.9990711,0.7418703862598964,0.7704613
337,0.003222502413496257,0.9990379,0.7961343101092747,0.74293154
338,0.0036657914439739894,0.99878913,1.1383301189967565,0.69345236
339,0.004824499511038072,0.9984906,0.7560593656131199,0.7540923
340,0.006909259664359182,0.99825835,0.6819377626691546,0.78869045
341,0.0042428696675678845,0.99882233,0.7051283546856472,0.7734375
342,0.003504524042598535,0.9991209,0.6438315425600324,0.8005952
343,0.0056251579968827,0.9985901,0.7067753502300808,0.8407738
344,0.006363987230524886,0.9980759,1.4407329729625158,0.67373514
345,0.00486983397741023,0.9986067,0.6460128085953849,0.82366073
346,0.005064786756163705,0.9985569,0.847894413130624,0.7607887
347,0.0051385119121136035,0.99865645,0.7935901539666312,0.7849702
348,0.0028040737121142853,0.99918723,0.7623184834207807,0.7708333
349,0.005379810590118428,0.9985238,0.9469266022954669,0.7630208
350,0.005344909067512481,0.9985238,1.1450271265847343,0.70386904
351,0.007444455535935895,0.99814224,0.9584418364933559,0.7213542
352,0.004694587891295614,0.998474,0.5772890618869236,0.8061756
353,0.0034120863541414106,0.9988389,0.620313150542123,0.7719494
354,0.003475939920958432,0.9990379,0.7786453706877572,0.73102677
355,0.005735645077614897,0.9984408,0.7651972940989903,0.75744045
356,0.004694586518153946,0.998756,0.5275299889700753,0.8307292
357,0.0034752404907026553,0.9989219,1.0157564197267805,0.7083333
358,0.002472444993522377,0.9992536,0.8048618265560695,0.7433036
359,0.0025148590909511302,0.99933654,0.5840306494917188,0.7849702
